keyLength,parentID,nodeName,recordType,flags,reserved1,fileID,createDate,contentModDate,attributeModDate,accessDate,backupDate,permissions,userInfo,finderInfo,textEncoding,reserved2,dataFork,resourceFork,valence,folderID,reserved,
,18,temp8128709,4,,,8128709,,,,,,,,,,,,,,,0,
,18,temp8128710,4,,,8128710,,,,,,,,,,,,,,,0,
,18,temp8128711,4,,,8128711,,,,,,,,,,,,,,,0,
,18,temp8128712,4,,,8128712,,,,,,,,,,,,,,,0,
,7727050,f_0064c2,4,,,8128722,,,,,,,,,,,,,,,0,
,7727050,f_0064c3,4,,,8128733,,,,,,,,,,,,,,,0,
,7727050,f_0064c4,4,,,8128735,,,,,,,,,,,,,,,0,
,7727050,f_0064c5,4,,,8128738,,,,,,,,,,,,,,,0,
,7727050,f_0064c6,4,,,8128743,,,,,,,,,,,,,,,0,
,7727050,f_0064c7,4,,,8128745,,,,,,,,,,,,,,,0,
,7727050,f_0064c8,4,,,8128747,,,,,,,,,,,,,,,0,
,7727050,f_0064c9,4,,,8128759,,,,,,,,,,,,,,,0,
,7727050,f_0064ca,4,,,8128766,,,,,,,,,,,,,,,0,
,7727050,f_0064cb,4,,,8128768,,,,,,,,,,,,,,,0,
,7727050,f_0064cc,4,,,8128770,,,,,,,,,,,,,,,0,
,7727050,f_0064cd,4,,,8128772,,,,,,,,,,,,,,,0,
,7727050,f_0064ce,4,,,8128774,,,,,,,,,,,,,,,0,
,7727050,f_0064cf,4,,,8128776,,,,,,,,,,,,,,,0,
,7727050,f_0064d0,4,,,8128778,,,,,,,,,,,,,,,0,
,7727050,f_0064d1,4,,,8128780,,,,,,,,,,,,,,,0,
,7727050,f_0064d2,4,,,8128782,,,,,,,,,,,,,,,0,
,7727050,f_0064d3,4,,,8128784,,,,,,,,,,,,,,,0,
,7727050,f_0064d4,4,,,8128786,,,,,,,,,,,,,,,0,
,7727050,f_0064d5,4,,,8128788,,,,,,,,,,,,,,,0,
,7727050,f_0064d6,4,,,8128790,,,,,,,,,,,,,,,0,
,7727050,f_0064d7,4,,,8128792,,,,,,,,,,,,,,,0,
,7727050,f_0064d8,4,,,8128794,,,,,,,,,,,,,,,0,
,7727050,f_0064d9,4,,,8128796,,,,,,,,,,,,,,,0,
,7727050,f_0064da,4,,,8128798,,,,,,,,,,,,,,,0,
,7727050,f_0064db,4,,,8128801,,,,,,,,,,,,,,,0,
,7727050,f_0064dc,4,,,8128803,,,,,,,,,,,,,,,0,
,7727050,f_0064dd,4,,,8128805,,,,,,,,,,,,,,,0,
,7727050,f_0064de,4,,,8128807,,,,,,,,,,,,,,,0,
,7727050,f_0064df,4,,,8128809,,,,,,,,,,,,,,,0,
,7727050,f_0064e0,4,,,8128811,,,,,,,,,,,,,,,0,
,8128675,sqlite3.db,4,,,8128812,,,,,,,,,,,,,,,0,
,808062,CA5EA80D-0436-4BD1-A87D-81C1D0D8E78A.system_events.periodic.GH23Rs.stats,4,,,8128830,,,,,,,,,,,,,,,0,
,18,temp8128834,4,,,8128834,,,,,,,,,,,,,,,0,
,796350,com.apple.noticeboard.plist,4,,,8128858,,,,,,,,,,,,,,,0,
,405341,com.apple.xpc.activity2.plist,4,,,8128859,,,,,,,,,,,,,,,0,
,11644,com.apple.xpc.activity2.plist,4,,,8128872,,,,,,,,,,,,,,,0,
,410431,Preferences,4,,,8128876,,,,,,,,,,,,,,,0,
,409616,Local State,4,,,8128877,,,,,,,,,,,,,,,0,
,410431,TransportSecurity,4,,,8128880,,,,,,,,,,,,,,,0,
,18,temp8128882,4,,,8128882,,,,,,,,,,,,,,,0,
,7727050,f_0064e1,4,,,8128904,,,,,,,,,,,,,,,0,
,7727050,f_0064e2,4,,,8128907,,,,,,,,,,,,,,,0,
,7727050,f_0064e3,4,,,8128921,,,,,,,,,,,,,,,0,
,7727050,f_0064e4,4,,,8128922,,,,,,,,,,,,,,,0,
,7727050,f_0064e5,4,,,8128923,,,,,,,,,,,,,,,0,
,18,temp8128924,4,,,8128924,,,,,,,,,,,,,,,0,
,7727050,f_0064e6,4,,,8128930,,,,,,,,,,,,,,,0,
,7727050,f_0064e7,4,,,8128932,,,,,,,,,,,,,,,0,
,7727050,f_0064e8,4,,,8128934,,,,,,,,,,,,,,,0,
,7727050,f_0064e9,4,,,8128936,,,,,,,,,,,,,,,0,
,406508,mdsObject.db,4,,,8128946,,,,,,,,,,,,,,,0,
,7727050,f_0064ea,4,,,8128948,,,,,,,,,,,,,,,0,
,7727050,f_0064eb,4,,,8128949,,,,,,,,,,,,,,,0,
,7727050,f_0064ec,4,,,8128951,,,,,,,,,,,,,,,0,
,7727050,f_0064ed,4,,,8128953,,,,,,,,,,,,,,,0,
,7727050,f_0064ee,4,,,8128955,,,,,,,,,,,,,,,0,
,7727050,f_0064ef,4,,,8128957,,,,,,,,,,,,,,,0,
,7727050,f_0064f0,4,,,8128959,,,,,,,,,,,,,,,0,
,7727050,f_0064f1,4,,,8128961,,,,,,,,,,,,,,,0,
,7727050,f_0064f2,4,,,8128965,,,,,,,,,,,,,,,0,
,7727050,f_0064f3,4,,,8128967,,,,,,,,,,,,,,,0,
,7727050,f_0064f4,4,,,8128969,,,,,,,,,,,,,,,0,
,7727050,f_0064f5,4,,,8128971,,,,,,,,,,,,,,,0,
,7727050,f_0064f6,4,,,8128973,,,,,,,,,,,,,,,0,
,7727050,f_0064f7,4,,,8128975,,,,,,,,,,,,,,,0,
,7727050,f_0064f8,4,,,8128977,,,,,,,,,,,,,,,0,
,7727050,f_0064f9,4,,,8128980,,,,,,,,,,,,,,,0,
,7727050,f_0064fa,4,,,8128982,,,,,,,,,,,,,,,0,
,7727050,f_0064fb,4,,,8128984,,,,,,,,,,,,,,,0,
56,794367,.com.google.Chrome.pDzTtG,1,132,,,3504921824,3504921824,3504921824,3507206120,0,BSDInfo(ownerID=501  groupID=20  adminFlags=0  ownerFlags=0  fileMode=16832  special=1),FolderInfo(windowBounds=Rect(top=0  left=0  bottom=0  right=0)  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFolderInfo(scrollPosition=Point(v=0  h=0)  reserved1=1422077024  extendedFinderFlags=0  reserved2=0  putAwayFolderID=3),0,,,,2,4585326,0,
56,794367,.com.google.Chrome.PiCKnS,1,132,,,3507024029,3507024029,3507024029,3507206120,0,BSDInfo(ownerID=501  groupID=20  adminFlags=0  ownerFlags=0  fileMode=16832  special=1),FolderInfo(windowBounds=Rect(top=0  left=0  bottom=0  right=0)  finderFlags=0  location=Point(v=0  h=0)  reservedField=0),ExtendedFolderInfo(scrollPosition=Point(v=0  h=0)  reserved1=1424179229  extendedFinderFlags=0  reserved2=0  putAwayFolderID=3),0,,,,2,7922196,0,
