keyLength,forkType,pad,fileID,startBlock,extent0,extent1,extent2,extent3,extent4,extent5,extent6,extent7,
10,0,0,7941082,11521,19431660~19432939,19433490~19434257,19443653~19444164,19522412~19523947,19524089~19524600,19525113~19525880,655360~8596441,18177~19548224,
10,0,0,7941082,18177,19564736~19564991,19565503~19566014,19570691~19571713,0~-1,0~-1,0~-1,655360~8607003,1369~18763841,
10,0,0,7951644,1369,18774042~18774183,18774579~18774648,18774890~18775065,18781326~18781723,18811991~18812489,18817188~18817573,655360~8607003,4430~20172558,
10,0,0,7951644,4430,20971679~20972049,21076362~21076750,21113153~21113463,0~-1,0~-1,0~-1,655360~8610549,4348~25464954,
10,0,0,7955190,4348,0~-1,0~-1,0~-1,0~-1,0~-1,0~-1,655360~8619998,539~9459515,
10,0,0,7964639,539,9459007~9459027,0~-1,0~-1,0~-1,0~-1,0~-1,655360~8700513,768~8322430,
10,0,0,8045154,768,0~-1,0~-1,0~-1,0~-1,0~-1,0~-1,655360~8703237,38~7757225,
10,0,0,8047878,38,7757581~7757581,7757590~7757592,7757987~7757992,7758280~7758296,0~-1,0~-1,655360~8703241,1880~12451302,
10,0,0,8047882,1880,12543520~12543772,12544676~12544738,12553629~12553916,13619401~13619705,13740112~13740462,15197352~15197690,655360~8703241,4007~15202328,
10,0,0,8047882,4007,15229273~15229559,15229709~15229993,15230890~15231541,19590584~19591012,0~-1,0~-1,655360~8703715,27~7489377,
10,0,0,8048356,27,7489631~7489633,7489643~7489643,7489667~7489668,7489676~7489676,7489756~7489757,7490300~7490301,655360~8703715,43~7490365,
10,0,0,8048356,43,7490332~7490332,0~-1,0~-1,0~-1,0~-1,0~-1,655360~8708062,2308~57445742,
10,0,0,8052703,2308,57835732~57835733,57901135~57901256,58098416~58101822,0~-1,0~-1,0~-1,0~-1,0~-1,
10,0,0,407719,69,10387275~10387285,10387347~10387350,10387369~10387373,10387376~10387378,10387401~10387401,10387422~10387423,655360~1063078,118~10387547,
10,0,0,407719,118,10387613~10387613,10387616~10387619,10396854~10396854,10396859~10396859,10397046~10397053,0~-1,655360~1063145,1289~11734018,
10,0,0,407786,1289,12160984~12161350,12161361~12161528,12189258~12189699,12189860~12190213,12225087~12225255,12236208~12236307,655360~1063145,3475~12258703,
10,0,0,407786,3475,12274017~12276226,12276254~12280381,12286784~12286918,12287290~12287587,12287896~12287982,12291061~12291105,655360~1063145,11185~12302721,
10,0,0,407786,11185,12521782~12521803,12523683~12524051,12536589~12536667,0~-1,0~-1,0~-1,655360~1063641,123~7964637,
10,0,0,408282,123,8145774~8145802,8145869~8145874,8146707~8146708,8150879~8150880,0~-1,0~-1,655360~1064042,11~7143537,
10,0,0,408683,11,0~-1,0~-1,0~-1,0~-1,0~-1,0~-1,655360~1065086,62~10737850,
10,0,0,409727,62,10747736~10747738,10747785~10747788,10747791~10747792,10767326~10767334,10813437~10813439,10813442~10813456,655360~1065086,104~10813627,
10,0,0,409727,104,10814102~10814114,10814312~10814316,10814336~10814339,10839483~10839487,10839489~10839497,10839511~10839520,655360~1065086,157~10840016,
10,0,0,409727,157,10840484~10840500,10840573~10840577,10840586~10840587,10840589~10840590,10909106~10909112,10909114~10909120,655360~1065086,511~10909632,
10,0,0,409727,511,10909135~10909143,10909146~10909154,10909157~10909159,10909168~10909209,10909212~10909220,10909223~10909230,655360~1065086,601~10909833,
10,0,0,409727,601,10909287~10909288,10909297~10909303,10909562~10909563,10909572~10909576,10909585~10909606,10909614~10909618,655360~1065086,689~10910316,
10,0,0,409727,689,10991522~10991530,11010354~11010357,11013871~11013872,11013877~11013879,11043107~11043110,11043119~11043140,655360~1065086,737~11092948,
10,0,0,409727,737,11092623~11092624,11092638~11092640,11092649~11092652,11092672~11092738,11092995~11092998,11093100~11093234,655360~1065086,1072~11094454,
10,0,0,409727,1072,11107802~11107945,11108101~11108103,11108406~11108490,11176754~11176757,11176762~11176766,11177129~11177155,655360~1065086,1348~11178505,
10,0,0,409727,1348,0~-1,0~-1,0~-1,0~-1,0~-1,0~-1,655360~1065807,35~7524791,
10,0,0,410448,35,7524822~7524823,7525393~7525393,7525395~7525395,0~-1,0~-1,0~-1,655360~1065844,37~7531924,
10,0,0,410485,37,7531930~7531936,7531939~7531946,7531949~7531954,7532022~7532033,7532046~7532049,7533889~7533893,655360~1065844,83~7533988,
