offset,keyLength,parentID,nodeName/nameLen,nodeName/nodeUnicode,recordType,flags,reserved1,CNID,createDate,contentModDate,attributeModDate,accessDate,backupDate,permissions/ownerID,permissions/groupID,permissions/adminFlags,permissions/ownerFlags,permissions/fileMode,permissions/special,userInfo/fileType,userInfo/fileCreator,userInfo/finderFlags,userInfo/location/v,userInfo/location/h,userInfo/opaque,finderInfo/document_id,finderInfo/date_added,finderInfo/extendedFinderFlags,finderInfo/reserved2,finderInfo/write_gen_counter,textEncoding,reserved2,dataFork/logicalSize,dataFork/clumpSize,dataFork/totalBlocks,dataFork/extents/extent0/startBlock,dataFork/extents/extent0/blockCount,dataFork/extents/extent1/startBlock,dataFork/extents/extent1/blockCount,dataFork/extents/extent2/startBlock,dataFork/extents/extent2/blockCount,dataFork/extents/extent3/startBlock,dataFork/extents/extent3/blockCount,dataFork/extents/extent4/startBlock,dataFork/extents/extent4/blockCount,dataFork/extents/extent5/startBlock,dataFork/extents/extent5/blockCount,dataFork/extents/extent6/startBlock,dataFork/extents/extent6/blockCount,dataFork/extents/extent7/startBlock,dataFork/extents/extent7/blockCount,resourceFork/logicalSize,resourceFork/clumpSize,resourceFork/totalBlocks,resourceFork/extents/extent0/startBlock,resourceFork/extents/extent0/blockCount,resourceFork/extents/extent1/startBlock,resourceFork/extents/extent1/blockCount,resourceFork/extents/extent2/startBlock,resourceFork/extents/extent2/blockCount,resourceFork/extents/extent3/startBlock,resourceFork/extents/extent3/blockCount,resourceFork/extents/extent4/startBlock,resourceFork/extents/extent4/blockCount,resourceFork/extents/extent5/startBlock,resourceFork/extents/extent5/blockCount,resourceFork/extents/extent6/startBlock,resourceFork/extents/extent6/blockCount,resourceFork/extents/extent7/startBlock,resourceFork/extents/extent7/blockCount,valence,bsdInfo/ownerID,bsdInfo/groupID,bsdInfo/adminFlags,bsdInfo/ownerFlags,bsdInfo/fileMode,bsdInfo/special,userInfo/windowBounds/top,userInfo/windowBounds/left,userInfo/windowBounds/bottom,userInfo/windowBounds/right,finderInfo/reserved3,folderCount,reserved,fullPath,
3813978,6,405222,5,AAA40,3,,,9568391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814006,6,405222,5,AAA41,3,,,9568392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814034,6,405222,5,AAA42,3,,,9568393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814062,6,405222,5,AAA43,3,,,9568394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814090,6,405222,5,AAA44,3,,,9568395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814118,6,405222,5,AAA45,3,,,9568396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814146,6,405222,5,AAA46,3,,,9568397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814174,6,405222,5,AAA47,3,,,9568398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814202,6,405222,5,AAA48,3,,,9568399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814230,6,405222,5,AAA49,3,,,9568400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814258,6,405341,29,com.apple.xpc.activity2.plist,4,,,9568408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814334,6,406508,12,mdsObject.db,4,,,9568438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814376,6,9526085,23,result2015-02-27-032811,3,,,9568450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814440,28,9568450,11,pattern.csv,2,130,0,9568451,3507820223,3507820347,3507820347,3507820223,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424975423,0,0,20,0,0,75634,0,19,31391803,1,31406097,4,31406102,5,31406115,4,31457047,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
3814718,6,9568450,11,pattern.csv,4,,,9568451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814758,6,405341,23,com.github.GitHub.plist,4,,,9568459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814822,6,404958,14,retire.2582654,4,,,9568469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814868,6,404957,13,retire.758049,4,,,9568470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814912,6,410431,11,Preferences,4,,,9568476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3814952,6,11644,29,com.apple.xpc.activity2.plist,4,,,9568479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
3815028,6,409616,11,Local State,4,,,9568480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
